code,dividend,count,record_months,fetched_date,monthly,source
8966,7940.0,2,,2026-08-11,0;0;0;0;3990;0;0;0;0;0;3950;0,yfinance
8967,4665.0,2,,2026-08-11,2300;0;0;0;0;0;2365;0;0;0;0;0,yfinance
8968,8354.0,2,,2026-08-11,0;4151;0;0;0;0;0;4203;0;0;0;0,yfinance
8972,8271.0,2,,2026-08-11,0;0;0;4166;0;0;0;0;0;4105;0;0,yfinance
8975,5091.0,2,,2026-08-11,0;0;0;2376;0;0;0;0;0;2715;0;0,yfinance
8976,15650.0,2,,2026-08-11,0;0;0;0;7630;0;0;0;0;0;8020;0,yfinance
8977,6689.0,2,,2026-08-11,0;0;0;0;3300;0;0;0;0;0;3389;0,yfinance
8979,10011.0,2,,2026-08-11,0;0;0;5186;0;0;0;0;0;4825;0;0,yfinance
8984,6746.0,2,,2026-08-11,0;3458;0;0;0;0;0;3288;0;0;0;0,yfinance
8985,5061.0,1,,2026-08-11,0;0;0;0;0;0;0;0;0;0;0;5061,yfinance
8986,5330.0,2,,2026-08-11,0;0;2630;0;0;0;0;0;2700;0;0;0,yfinance
8987,6086.0,2,,2026-08-11,0;0;0;0;0;3050;0;0;0;0;0;3036,yfinance
9282,3540.0,1,,2026-08-11,0;0;0;0;0;3540;0;0;0;0;0;0,yfinance
9284,6638.0,2,,2026-08-11,0;0;0;0;0;2982;0;0;0;0;0;3656,yfinance
9285,3455.0,2,,2026-08-11,0;0;0;0;0;1655;0;0;0;0;0;1800,yfinance
9286,4185.0,2,,2026-08-12,0;0;0;0;2185;0;0;0;0;0;2000;0,yfinance
